scenario,t_origin,t_target,days_ahead,target_val,forecast_median,p10,p90,reference_peak_predicted,global_relative_bandwidth,local_relative_bandwidth,is_predictable
post_peak,49,54,5,0.004106341095444516,0.0028692465,0.0015052614,0.0058852397,0.015616895630955696,0.28046408,1.526525616645813,True
post_peak,49,55,6,0.0036525495099381526,0.0024951282,0.0012708664,0.005234009,0.015616895630955696,0.25377277,1.5883523225784302,True
post_peak,49,56,7,0.0032887102357566905,0.0022884822,0.0011312356,0.0049170903,0.015616895630955696,0.24242043,1.6543081998825073,True
post_peak,49,57,8,0.0029210476008411394,0.0020699985,0.0009921797,0.004559557,0.015616895630955696,0.22843061,1.7233718633651733,True
post_peak,49,58,9,0.002605465339168264,0.0018799043,0.0008710185,0.0042412146,0.015616895630955696,0.21580449,1.7927488088607788,True
post_peak,49,59,10,0.002262396213839532,0.0016955141,0.0007577791,0.0039237193,0.015616895630955696,0.20272532,1.867245078086853,True
post_peak,49,60,11,0.002014549437604303,0.0015194563,0.00065138546,0.0036095502,0.015616895630955696,0.18942079,1.9468574523925781,True
post_peak,49,61,12,0.001784837791337504,0.0013446731,0.00055327354,0.0032817104,0.015616895630955696,0.17471057,2.0290706157684326,True
post_peak,49,62,13,0.0015681462383813748,0.001177147,0.00046523233,0.0029543296,0.015616895630955696,0.15938489,2.1145167350769043,True
post_peak,49,63,14,0.0013816799020392979,0.0010258369,0.00038983542,0.0026508945,0.015616895630955696,0.14478289,2.2041115760803223,True
post_peak,49,64,15,0.001199553596800777,0.0008905855,0.0003258545,0.002373295,0.015616895630955696,0.13110419,2.298982620239258,True
post_peak,49,65,16,0.001054885893348902,0.0007752031,0.00027355645,0.0021343105,0.015616895630955696,0.119150065,2.400343894958496,True
post_peak,49,66,17,0.0009017964628746503,0.0006653223,0.00022691245,0.0018964567,0.015616895630955696,0.10690628,2.5093767642974854,True
post_peak,49,67,18,0.0007618821268219091,0.0005699814,0.00018835258,0.0016857557,0.015616895630955696,0.09588353,2.6271088123321533,True
post_peak,49,68,19,0.0006604597332947553,0.00048537413,0.00015585862,0.0014927356,0.015616895630955696,0.085604526,2.7543227672576904,True
post_peak,49,69,20,0.0005664257260510369,0.00041044358,0.00012848631,0.0013152766,0.015616895630955696,0.07599399,2.89148211479187,True
post_peak,49,70,21,0.0004968302272832955,0.0003498522,0.00010714039,0.0011702228,0.015616895630955696,0.06807258,3.038661479949951,True
post_peak,49,71,22,0.0004410814944173766,0.00029148426,8.764623e-05,0.0010190833,0.015616895630955696,0.059642907,3.1954970359802246,True
post_peak,49,72,23,0.0003887427859899663,0.00024048933,7.126369e-05,0.00087957917,0.015616895630955696,0.051759038,3.361128091812134,True
post_peak,49,73,24,0.0003373857512645507,0.00020552418,6.0238577e-05,0.00078659283,0.015616895630955696,0.046510797,3.5341546535491943,True
post_peak,49,74,25,0.0002831353624700977,0.00017799683,5.1784344e-05,0.0007126188,0.015616895630955696,0.042315356,3.7126193046569824,True
post_peak,49,75,26,0.0002468651025332348,0.00015102382,4.3760283e-05,0.00063185004,0.015616895630955696,0.037657276,3.894019842147827,True
post_peak,49,76,27,0.000217001555177812,0.0001297234,3.7560156e-05,0.00056623184,0.015616895630955696,0.033852544,4.075376510620117,True
post_peak,49,77,28,0.00018093796338873765,0.00011011335,3.1962245e-05,0.0005003115,0.015616895630955696,0.029989908,4.253337383270264,True
post_peak,49,78,29,0.00015944447601874475,9.227816e-05,2.6942704e-05,0.0004352125,0.015616895630955696,0.026142828,0.0,True
post_peak,49,79,30,0.00013614264235560356,7.831835e-05,2.30842e-05,0.00038215803,0.015616895630955696,0.022992652,0.0,True
post_peak,49,80,31,0.00011656083535265335,6.663277e-05,1.9905825e-05,0.00033516646,0.015616895630955696,0.02018715,0.0,True
post_peak,49,81,32,0.00010013071760347617,5.673577e-05,1.7255472e-05,0.00029303817,0.015616895630955696,0.017659253,0.0,True
post_peak,49,82,33,8.530227799965901e-05,4.788637e-05,1.4900651e-05,0.0002529317,0.015616895630955696,0.015241893,0.0,True
post_peak,49,83,34,7.595054431223423e-05,4.1024912e-05,1.3130563e-05,0.00022067543,0.015616895630955696,0.0132897645,0.0,True
post_peak,49,84,35,6.32404532232481e-05,3.508054e-05,1.1613544e-05,0.00019136464,0.015616895630955696,0.01151004,0.0,True
post_peak,49,85,36,5.1822038057939436e-05,2.9945379e-05,1.03112825e-05,0.00016496012,0.015616895630955696,0.009902662,0.0,True
post_peak,49,86,37,4.433031770061019e-05,2.5594894e-05,9.215694e-06,0.00014177602,0.015616895630955696,0.008488263,0.0,True
post_peak,49,87,38,4.1230295483784295e-05,2.2123473e-05,8.369425e-06,0.00012269097,0.015616895630955696,0.0073203756,0.0,True
post_peak,49,88,39,3.7665269934434525e-05,1.8674207e-05,7.4523036e-06,0.00010321844,0.015616895630955696,0.006132213,0.0,True
post_peak,49,89,40,3.156855957467695e-05,1.6294562e-05,6.8804197e-06,8.934564e-05,0.015616895630955696,0.005280513,0.0,True
post_peak,49,90,41,2.74351966189091e-05,1.3809121e-05,6.181656e-06,7.4743315e-05,0.015616895630955696,0.0043902234,0.0,True
post_peak,49,91,42,2.3508501810929648e-05,1.1861276e-05,5.6336744e-06,6.304859e-05,0.015616895630955696,0.0036764613,0.0,True
post_peak,49,92,43,1.6326783675283005e-05,1.0210341e-05,5.1440525e-06,5.3015956e-05,0.015616895630955696,0.003065392,0.0,True
post_peak,49,93,44,1.3381762569298414e-05,8.958967e-06,4.7817603e-06,4.5194807e-05,0.015616895630955696,0.0025877773,0.0,True
post_peak,49,94,45,1.2348421830356452e-05,7.831406e-06,4.419143e-06,3.8174952e-05,0.015616895630955696,0.0021614928,0.0,True
post_peak,49,95,46,1.0798410721943508e-05,6.991703e-06,4.159804e-06,3.275869e-05,0.015616895630955696,0.0018312786,0.0,True
post_peak,49,96,47,7.233385172593737e-06,6.341834e-06,3.965667e-06,2.8416189e-05,0.015616895630955696,0.0015656454,0.0,True
post_peak,49,97,48,5.0117025838685175e-06,5.6704066e-06,3.7137809e-06,2.4184199e-05,0.015616895630955696,0.0013107866,0.0,True
post_peak,49,98,49,4.081695918820752e-06,5.09849e-06,3.4847124e-06,2.0610578e-05,0.015616895630955696,0.0010966242,0.0,True
post_peak,49,99,50,2.9450211059845936e-06,4.552343e-06,3.235139e-06,1.7379183e-05,0.015616895630955696,0.00090568856,0.0,True
